"","INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","STATISTICAL_MURDER_FLAG","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"714",195102365,2019-03-22,22:05:00,"BROOKLYN",77,0,TRUE,"25-44","M","BLACK",994238.75,186637.328125,40.6789556900001,-73.9639888569999,"POINT (-73.96398885699995 40.678955690000066)"
"715",198900605,2019-06-24,18:55:00,"MANHATTAN",32,0,TRUE,"25-44","M","BLACK",1000927.5625,236479.765625,40.815750544,-73.939749996,"POINT (-73.93974999599999 40.815750544000025)"
"716",200365033,2019-07-27,09:08:00,"BROOKLYN",75,0,FALSE,"25-44","M","BLACK",1021055.5,181470.390625,40.66470274,-73.867334338,"POINT (-73.86733433799998 40.66470274000005)"
"717",203676927,2019-10-12,02:50:00,"MANHATTAN",18,0,FALSE,"25-44","F","BLACK",988226,217228,40.762924454,-73.9856486469999,"POINT (-73.98564864699996 40.76292445400003)"
"718",201089982,2019-08-13,23:49:00,"BROOKLYN",62,0,FALSE,"25-44","M","WHITE HISPANIC",988770.25,161130.0625,40.6089482090001,-73.983721606,"POINT (-73.98372160599996 40.60894820900006)"
"719",195743581,2019-04-08,11:55:00,"QUEENS",115,0,TRUE,"25-44","M","WHITE HISPANIC",1017904.25,212282.3125,40.749286655,-73.878539153,"POINT (-73.87853915299996 40.74928665500005)"
"720",203394879,2019-10-07,13:27:00,"BRONX",43,0,FALSE,"<18","M","ASIAN / PACIFIC ISLANDER",1024622,237417,40.8182464810001,-73.8541429699999,"POINT (-73.85414296999994 40.818246481000074)"
"721",193160952,2019-02-04,11:41:00,"BROOKLYN",60,0,TRUE,"45-64","F","BLACK",984147.3125,150277.703125,40.5791618100001,-74.000371106,"POINT (-74.00037110599999 40.57916181000007)"
"722",200839848,2019-08-06,18:30:00,"BROOKLYN",73,2,FALSE,"<18","M","BLACK",1010869.1875,183398.234375,40.670030723,-73.904043719,"POINT (-73.90404371899996 40.670030723000025)"
"723",199188161,2019-07-02,05:10:00,"BROOKLYN",77,0,FALSE,"45-64","M","BLACK",1004161,181456,40.664717351,-73.928231339,"POINT (-73.92823133899998 40.664717351000036)"
"724",196414298,2019-04-24,23:15:00,"BRONX",44,0,FALSE,"25-44","M","BLACK",1009069.3125,244906.875,40.838861427,-73.910304932,"POINT (-73.91030493199997 40.83886142700004)"
"725",198255458,2019-06-07,17:08:00,"MANHATTAN",23,2,FALSE,"45-64","F","BLACK",997919.9375,227367.671875,40.790745513,-73.950634268,"POINT (-73.95063426799999 40.79074551300005)"
"726",199046250,2019-06-27,01:00:00,"BRONX",52,0,FALSE,"18-24","M","BLACK HISPANIC",1009309.3125,252307.359375,40.8591728850001,-73.909409919,"POINT (-73.90940991899998 40.85917288500008)"
"727",201851565,2019-08-30,17:15:00,"BROOKLYN",83,0,FALSE,"25-44","M","BLACK",1009855.8125,190833.3125,40.6904413080001,-73.907668514,"POINT (-73.90766851399997 40.69044130800006)"
"728",196315233,2019-04-22,23:15:00,"BRONX",42,0,FALSE,"18-24","M","BLACK",1010951,240480,40.8267054450001,-73.903522174,"POINT (-73.903522174 40.82670544500007)"
"729",194859638,2019-03-18,21:33:00,"MANHATTAN",28,0,FALSE,"25-44","M","BLACK",995873.5,231986.40625,40.8034256130001,-73.9580167129999,"POINT (-73.95801671299995 40.80342561300006)"
